# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.7.0-beta2

shop.material.price.item:chicken:0*1, double, 3FFC000000000000
shop.material.price.item:coal:0*1, double, 401699999999999A
shop.material.price.item:cobblestone:0*1, double, 3FE6666666666666
shop.material.price.item:diamond:0*1, long, 0000000000000160
shop.material.price.item:dirt:0*1, double, 3FD6666666666666
shop.material.price.item:egg:0*1, double, 3FD6666666666666
shop.material.price.item:elytra:0*1, long, 0000000000000F00
shop.material.price.item:emerald:0*1, long, 0000000000000023
shop.material.price.item:ender_pearl:0*1, double, 404199999999999A
shop.material.price.item:feather:0*1, double, 3FD6666666666666
shop.material.price.item:gold_ingot:0*1, double, 4042E66666666666
shop.material.price.item:iron_ingot:0*1, double, 402799999999999A
shop.material.price.item:leather:0*1, double, 400C000000000000
shop.material.price.item:melon_seeds:0*1, double, 4007333333333333
shop.material.price.item:melon_slice:0*1, double, 4007333333333333
shop.material.price.item:oak_log:0*1, long, 0000000000000007
shop.material.price.item:obsidian:0*1, double, 4054CCCCCCCCCCCD
shop.material.price.item:poisonous_potato:0*1, double, 3FC999999999999A
shop.material.price.item:porkchop:0*1, double, 4006666666666666
shop.material.price.item:potato:0*1, double, 3FD6666666666666
shop.material.price.item:quartz:0*1, long, 0000000000000007
shop.material.price.item:quartz_block:0*1, long, 000000000000001C
shop.material.price.item:stone:0*1, double, 3FF7851EB851EB85
shop.material.price.item:wheat:0*1, double, 4000F5C28F5C28F6
shop.materials::1, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20454D4552414C440A
shop.materials::2, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A204449414D4F4E440A
shop.materials::3, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20474F4C445F494E474F540A
shop.materials::4, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A2049524F4E5F494E474F540A
shop.materials::5, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20434F42424C4553544F4E450A
shop.materials::6, itemstack, 810576616C756520804476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A2053544F4E450A
shop.materials::7, itemstack, 810576616C756520804376616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20444952540A
shop.materials::8, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A2051554152545A0A
shop.materials::9, itemstack, 810576616C756520804B76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A2051554152545A5F424C4F434B0A
shop.materials::10, itemstack, 810576616C756520804276616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A204547470A
shop.materials::11, itemstack, 810576616C756520804376616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20424545460A
shop.materials::12, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20434849434B454E0A
shop.materials::13, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20504F524B43484F500A
shop.materials::14, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20434152524F540A
shop.materials::15, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20504F5441544F0A
shop.materials::16, itemstack, 810576616C756520804B76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A2042414B45445F504F5441544F0A
shop.materials::17, itemstack, 810576616C756520804476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A2057484541540A
shop.materials::18, itemstack, 810576616C756520804F76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20504F49534F4E4F55535F504F5441544F0A
shop.materials::19, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20464541544845520A
shop.materials::20, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A204C4541544845520A
shop.materials::21, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A204D454C4F4E5F53454544530A
shop.materials::22, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A204D454C4F4E5F534C4943450A
shop.materials::23, itemstack, 810576616C756520804376616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20434F414C0A
shop.materials::24, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A2043484152434F414C0A
shop.materials::25, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A204F414B5F4C4F470A
shop.materials::26, itemstack, 810576616C756520804876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20424F4E455F4D45414C0A
shop.materials::27, itemstack, 810576616C756520804476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A204150504C450A
shop.materials::28, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A2043414C434954450A
shop.materials::29, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20454C595452410A
shop.materials::30, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A204F4253494449414E0A
shop.materials::31, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20333333370A2020747970653A20454E4445525F504541524C0A
shop.openinv.ago19, long, 0000000000000001
shop.openinv.xxrogxx, long, 0000000000000001
survivalfly.<none>.fly, long, 0000000000000000
survivalfly.ago19.fly, long, 0000000000000001
survivalfly.ominsky.fly, long, 0000000000000001
survivalfly.xxrogxx.fly, long, 0000000000000001
warp::ancientcity, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809406306FE5BE4006C017909C024000000000000017A09C06C81399B1B4976057069746368084235CCCA0379617708C212ECD0
"warp::bellissima caverna", location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C08636D08DCA1D15017909405AC00000000000017A09C0843D51BDD6FC7D057069746368084200662F0379617708C2FB3438
warp::casa, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094065E846C151300B0179094061A00000000000017A09C06CB76B034F83A405706974636808BFF99D9D037961770842B564C6
warp::chest, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809407312BA23D67D890179094067600000000000017A09C074060735D626210570697463680841533332037961770843262595
warp::darkforest, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C08232613A2C3107017909405A000000000000017A09C085434E3AE2D8C30570697463680842439993037961770842DAE560
warp::endportal, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094061C905BC92D2C7017909C03C000000000000017A09C09BEB23468E55B8057069746368084150CCD8037961770843335A84
warp::farm, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094073345363A295710179094067000000000000017A09C0733701829C8045057069746368083E9997CE037961770842B51807
"warp::fortezza nera", location, 8605776F726C6480FF0000000181046E616D6520800C776F726C645F6E6574686572017809C07789CC4262FA930179094054C00000000000017A09402D99CFECB20235057069746368084230FF8B0379617708C330E6F5
warp::hub, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094068672E0A7C902B0179094061600000000000017A09C075A9B1E673552205706974636808C0499B33037961770842B4319C
warp::ifarm, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094071D612F7E0EF7A0179094062A00000000000017A09C0788FBA270544F1057069746368083F22804B0379617708C2B2699F
warp::jungle, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809407151C7D0CA0FE7017909405B800000000000017A09C085835E3D2A39AA0570697463680841ED99070379617708420DFD60
warp::mare, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809409798BC2D29CE2A017909404F800000000000017A09C092AA1992FA648A05706974636808C0A333E70379617708C2B168A0
warp::mercato, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809405D6C8340BE49800179094055000000000000017A09C0745E68E2DDB4D405706974636808C08667890379617708429C9975
warp::nether_figo, location, 8605776F726C6480FF0000000181046E616D6520800C776F726C645F6E6574686572017809C0791E43300EF4940179094052400000000000017A09C046C390C97D80C805706974636808419B19150379617708C1E0AF60
warp::palude, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809408C526528435D950179094050000000000000017A09C09A816FB7837A620570697463680841B636680379617708C2F38DC0
warp::portale, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940532D6392F7359A0179094055000000000000017A09C079E4E46D1F9CE505706974636808C0A7FFB20379617708C2B46808
warp::skeletons, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809405AD371B1F1ECBC0179094046800000000000017A09C074A4CCCCD00000057069746368083F6664970379617708C2B387A0
warp::smelter, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C03085F5544677820179094053C00000000000017A09C07574A3D7F046E305706974636808C103FE13037961770842B51D60
"warp::spawn ragni", location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809407AB7B9171E7D430179094050800000000000017A09C073E33B263FC42005706974636808414000210379617708BEB60000
warp::spawner_rangni2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940798F0D420466AD017909404F800000000000017A09C075E1DF3FCD291E0570697463680841A6CD4A0379617708C2B201CC
warp::villager, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094069D666666000000179094050800000000000017A09C074057F9BD980A6057069746368084040C45F037961770842B623A0
warp::wb, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0930653400E1FB60179090000000000000000017A09C08D296C0124141A0570697463680841D934AD037961770842DBCB78
warp::wfarm, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940731B8051BBFBE40179094061E00000000000017A09C07BBB11FAD936DE0570697463680840EB325B0379617708C310F3CD
warp::zspawner_ocean_overend, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940619716C9C2DF10017909BFF0000000000000017A09C09B84C7663232DA0570697463680841C266550379617708C2C8CA60
warp.casa, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094065ECDC384327BC0179094061A00000000000017A09C06CB2DC38E641C005706974636808BF666B57037961770842B2B1D8
warp.farm, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809407333E3E27820D30179094067000000000000017A09C07337E7AA9EE29C05706974636808BF400075037961770842B81812
warp.hub, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940686B8070AC5D460179094061600000000000017A09C075A9999464C24805706974636808C0700148037961770842B397F2

